"","sample","spot","cage","sample_id","Apo_Sym","treatment","full_treatment","Date_Deployed","Date_Collected","Notes","airbrush_date","airbrush_volume","Initials","surface_area","cre.umol","cre.umol.mgprot","chla.ug.cm2","chlc2.ug.cm2","prot_ug.cm2","prot_mg.cm2","prot_ug","sym.cm2","lipids.mg.cm2","percent_lipids","AFDW.mg.cm2","calice_density","ratio","chl_ug.sym","prot_biomass"
"1",1,"C2","D4","D4-C2-1","SYM","deep","sym_deep","2023.06.21","2023.10.10","","2023.12.4",10,"TL",12.44289694,1.28484894696571,0.0602512608910526,0.208338408,0.185929371,1713.81693100953,1.71381693100953,21324.8474465787,141981.941626529,NA,NA,NA,2.49138123939167,0.71990523938075,1.46735849371616e-06,NA
"2",2,"B2","D1","D1-B2-2","APO","deep","apo_deep","2023.06.21","2023.10.10","","2023.11.27",9.5,"TL",6.604456825,0.310989983869485,0.0260078603216783,0.236644492,0.343818963,1810.52561003338,1.81052561003338,11957.5382220223,29667.4662567728,NA,NA,NA,1.66554196529251,0.374745193102308,7.97656564102357e-06,NA
"3",3,"B3","S2","S2-B3-3","APO","shade","apo_shade","2023.06.23","2023.10.09","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"B3","S5","S5-B3-4","APO","shade","apo_shade","2023.06.23","2023.10.09","","2023.11.28",7,"TL",8.930362117,NA,NA,0.54908841,0.282242194,968.001770948994,0.968001770948994,8644.6063444718,194654.294005713,NA,NA,NA,2.01559575795195,0.724836097184728,2.82083892782702e-06,NA
"5",5,"D4","D2","D2-D4-5","SYM","deep","sym_deep","2023.06.23","2023.10.10","","2023.11.16",12.5,"TL",12.11420613,2.44892304040464,0.14813515012949,0.057319068,0.051153785,1364.65244022058,1.36465244022058,16531.6809566396,42886.1160545565,0.00247643136315033,0.510869565,0.0048496780861694,1.32076339368018,0.606495509889262,1.33654136287564e-06,281.390314155568
"6",6,"D1","G4","G4-D1-6","SYM","control","sym_control","2023.06.21","2023.10.09","","2023.11.27",12.5,"TL",12.93314763,1.50491776090344,0.125405167964773,2.944082221,0.689144882,927.882744794854,0.927882744794854,12000.4445217615,1548024.80496389,NA,NA,NA,2.39694163299364,0.91713955153986,1.90183142515515e-06,NA
"7",7,"C1","D5","D5-C1-7","SYM","deep","sym_deep","2023.06.21","2023.10.10","","2023.11.30",11,"HLE",22.26183844,3.41597361317554,0.150464954398726,0.147972206,0.06371666,1019.80731504128,1.01980731504128,22702.7856873791,120235.652303117,0.00103765015015534,0.318785579,0.00321177427429035,1.43743743744463,0.394468624318219,1.23068493550447e-06,317.521478145163
"8",8,"A3","D1","D1-A3-8","APO","deep","apo_deep","2023.06.21","2023.10.10","","2023.11.28",6,"HLE",4.657381616,2.68049719071328,0.282276153613815,0.180627243,0.086958732,2038.91603261882,2.03891603261882,9496.01004688656,2012.93361226683,NA,NA,NA,1.93241626777616,0.285989752630709,8.97333334290095e-05,NA
"9",9,"B1","S1","S1-B1-9","APO","shade","apo_shade","2023.06.21","2023.10.09","","2023.11.16",14,"TL",13.20612813,0.62822197917051,0.0732215556551032,1.024220211,0.339793008,649.67875984231,0.649678759842309,8579.74094581704,115287.386659636,0.000530056950159244,0.442857143,0.00127213668038219,1.43872600757509,0.769213817420528,8.88406130693043e-06,510.698865822441
"10",10,"A3","D4","D4-A3-10","APO","deep","apo_deep","2023.06.21",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,"B2","D5","D5-B2-11","APO","deep","apo_deep","2023.06.21","2023.10.10","","2023.11.28",9,"TL",8.337047354,2.5521432869602,0.175372575675226,0.128489734,0.176879168,1745.54522334122,1.74554522334122,14552.6931855442,13156.6363176975,NA,NA,NA,2.51887738048225,0.537463500633574,9.76615381753492e-06,NA
"12",12,"B4","G4","G4-B4-12","APO","control","apo_control","2023.06.23","2023.10.09","","2023.11.16",8.5,"TL",9.415041783,2.45620923380008,0.32981750523774,0.741327919,0.411862219,790.987108932922,0.790987108932922,7447.17668041784,142192.677510712,NA,NA,NA,3.82366863894352,0.857969257892127,5.21354497276523e-06,NA
"13",13,"D2","G1","G1-D2-13","SYM","control","sym_control","2023.06.21","2023.10.09","","2023.12.2",13.5,"TL",15.20334262,6.1221477596282,0.481096313838478,1.351227524,0.366684165,837.013947826915,0.837013947826915,12725.4098265314,495779.131467735,0.00230870282130102,0.4825757575,0.00470620190495977,2.49945034784725,0.857969257892127,2.7254626873861e-06,177.853386813856
"14",14,"A4","G5","G5-A4-14","APO","control","apo_control","2023.06.21","2023.10.09","","2023.11.27",9.5,"TL",5.548746518,3.39856153732376,0.768311228745928,2.287391989,0.462737393,797.192257638928,0.797192257638928,4423.41776375056,843208.458851427,NA,NA,NA,2.70331325306362,0.359952619690375,2.71272419647659e-06,NA
"15",15,"C2","D2","D2-C2-15","SYM","deep","sym_deep","2023.06.21","2023.10.10","","2023.11.28",7.5,"HLE",9.409470752,1.55026856248574,0.083822224894825,0.123964198,0.174936778,1965.54304572192,1.96554304572192,18494.7198005174,59780.1953824491,NA,NA,NA,2.97572528125969,0.438846344554019,2.07366665844646e-06,NA
"16",16,NA,NA,NA,"APO",NA,NA,"2023.06.21",NA,"LOST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"B1","G4","G4-B1-17","APO","control","apo_control","2023.06.21","2023.10.09","","2023.11.16",12,"TL",28.84122563,4.17963920307934,0.188306468833407,1.203319181,0.344985339,769.590755884577,0.769590755884577,22195.9406332293,511073.980873676,0.00170589144272784,0.520425532,0.00299571180186353,2.01101023736209,1.22285273538648,2.35449118138031e-06,256.897461032747
"18",18,"B3","S1","S1-B3-18","APO","shade","apo_shade","2023.06.21","2023.10.09","","2023.11.28",7,"HLE",8.211699164,2.06996080945748,0.241723322780478,0.245794643,0.170232734,1042.82284569701,1.04282284569701,8563.34749021023,483761.024443686,NA,NA,NA,2.55732700146442,0.769213817420528,5.08091042023607e-07,NA
"19",19,"B3","G5","G5-B3-19","APO","control","apo_control","2023.06.21","2023.10.09","","2023.11.27",10.5,"TL",16.2005571,4.57758945020809,0.316750266147067,0.686878385,0.232029058,892.051446744611,0.892051446744611,14451.7303991237,175804.139476167,0.000648125859819969,0.338235294,0.0020091901654419,2.03696698800562,0.857969257892127,3.90706605115585e-06,443.985572937748
"20",22,"D1","G1","G1-D1-22","SYM","control","sym_control","2023.06.21","2023.10.09","","2023.12.4",12,"TL",15.03342618,0.78122019687503,0.0398713009820416,1.231575542,0.252716843,1303.33208429456,1.30333208429456,19593.5466772679,644563.646635075,0.000478932740533802,0.1825396825,0.00255430794951361,2.06207152174276,0.838245826676216,1.91071207386486e-06,510.248611387182
"21",23,"D3","D2","D2-D3-23","SYM","deep","sym_deep","2023.06.21","2023.10.10","","2023.12.2",6,"TL",5.598885794,4.6467253300172,0.30825321251491,0.060101244,0.028934328,2692.38883968806,2.69238883968806,15074.3776264536,71442.7860715889,NA,NA,NA,2.32189054721054,0.41419205553413,8.41250003041257e-07,NA
"22",24,"B3","G1","G1-B3-24","APO","control","apo_control","2023.06.23","2023.10.09","","2023.12.2",7.5,"TL",7.011142061,1.86381317317721,0.295196436203628,0.672973456,0.193727354,900.538946410721,0.900538946410721,6313.80648474883,244508.768982994,NA,NA,NA,1.71156138266701,0.443777202357997,2.7523489599132e-06,NA
"23",25,"D3","G5","G5-D3-25","SYM","control","sym_control","2023.06.21","2023.10.09","","2023.11.17",8,"TL",7.637883008,3.39058951426699,0.342169312141918,2.574840871,0.402598468,1297.36194857473,1.29736194857473,9909.09878224471,956416.849059964,NA,NA,NA,2.22574762957144,0.56704864745744,2.69217431032373e-06,NA
"24",26,"B1","G1","G1-B1-26","APO","control","apo_control","2023.06.21","2023.10.09","","2023.12.2",5.5,"TL",4.590529248,1.67090088489308,0.412007731045553,0.68271812,0.346915337,883.45119978106,0.88345119978106,4055.50857177565,115818.163432166,NA,NA,NA,1.96055825238912,0.433915486750041,5.8947413753445e-06,NA
"25",29,"A2","S1","S1-A2-29",NA,"shade",NA,NA,"2023.10.09","","2023.11.16",14.5,"TL",14.83008357,NA,NA,0.454699056,0.315639658,541.932192719095,0.541932192719095,8036.89970729753,27499.0021516109,NA,NA,NA,1.34861006720544,0.818522395460305,1.65351111103267e-05,NA
"26",30,"B2","D2","D2-B2-30","APO","deep","apo_deep","2023.06.21","2023.10.10","","2023.11.16",8,"TL",8.721448468,6.16326787805908,0.246572064071879,0.042217758,0.048248866,2866.01562939043,2.86601562939043,24995.8076202112,2866.49632704107,NA,NA,NA,2.52251676779614,0.601564652085285,1.47280000332598e-05,NA
"27",31,"A4","S5","S5-A4-31","APO","shade","apo_shade","2023.06.21","2023.10.09","","2023.11.28",9.5,"TL",11.22284123,2.13022301536536,0.347635823872642,0.141067219,0.125893922,546.006395178446,0.546006395178447,6127.74308365234,2909.80236918134,NA,NA,NA,1.87118391587546,0.498016638201752,4.8480000048831e-05,NA
"28",32,"B4","D1","D1-B4-32","APO","deep","apo_deep","2023.06.23","2023.10.10","","2023.11.28",8.5,"TL",4.601671309,4.17564742146298,0.319886944676003,0.217887321,0.386055387,2836.68890997022,2.83668890997022,13053.5099695684,2886.17963087115,NA,NA,NA,3.042372881483,0.364883477494353,7.54933333564668e-05,NA
"29",33,"D2","G5","G5-D2-33","SYM","control","sym_control","2023.06.21","2023.10.09","","2023.11.27",9,"TL",11.58495822,0.901482626803816,0.128138988801862,1.087222307,0.298745143,607.269678746698,0.607269678746698,7035.19385655332,675390.869040182,NA,NA,NA,1.46742005255156,0.522670927221641,1.6097675536317e-06,NA
"30",34,"D4","G2","G2-D4-34","SYM","control","sym_control","2023.06.21","2023.10.09","","2023.11.30",5,"HLE",6.487465181,1.44482896105887,0.383116651152887,0.508120903,0.080385788,581.313448746491,0.58131344874649,3771.25075798989,322737.762991317,NA,NA,NA,1.69557750108871,0.355021761886397,1.57440795985709e-06,NA
"31",36,"C1","D2","D2-C1-36","SYM","deep","sym_deep","2023.06.21","2023.10.10","","2023.11.27",12,"TL",11.91643454,5.99212933972164,0.259170750048131,0.139580341,0.136173282,1940.21055010798,1.94021055010798,23120.3920141792,33567.0874217717,NA,NA,NA,1.5944366526936,0.80866067985235,4.15824999190927e-06,NA
"32",39,"A1","D5","D5-A1-39","APO","deep","apo_deep","2023.06.21","2023.10.10","","2023.11.30",10.5,"HLE",17.31754875,13.3993187871468,0.378276153682639,0.023100844,-0.007336489,2045.44278675906,2.04544278675906,35422.0551750359,17621.2150117377,0.000606321376747965,0.2367724865,0.00248591764466666,1.96332636280293,0.675527519144951,1.31096771616556e-06,NA
"33",40,"D4","G4","G4-D4-40","SYM","control","sym_control","2023.06.23","2023.10.09","","2023.11.16",12.5,"TL",7.543175487,2.22977895766329,0.304718378144426,1.278390648,0.262323209,970.083132279788,0.970083132279788,7317.50730376507,722921.667326709,NA,NA,NA,1.98855243734568,0.586772078673351,1.76836676195826e-06,NA
"34",41,"C4","G5","G5-C4-41","SYM","control","sym_control","2023.06.21","2023.10.09","","2023.11.27",12,"TL",13.07799443,3.20866234416382,0.242528753248056,NA,0.699992652,1011.62519074194,1.01162519074194,13230.0286097708,NA,NA,NA,NA,1.91160809356607,0.710043523772795,NA,NA
"35",42,"C2","G4","G4-C2-42","SYM","control","sym_control","2023.06.21","2023.10.09","","2023.11.16",6.5,"TL",10.68802228,2.12371902204685,0.336443738490955,1.148439394,0.302953616,590.591587433142,0.590591587433142,6312.25604486599,NA,NA,NA,NA,1.77769090503805,0.438846344554019,NA,NA
"36",43,"A2","S4","S4-A2-43","APO","shade","apo_shade","2023.06.21","2023.10.09","","2023.11.30",10,"HLE",8.509749304,1.93216685290939,0.248520764825971,0.371701118,0.724492553,913.619120055435,0.913619120055435,7774.66967101283,2937.8068738463,NA,NA,NA,3.99541734843097,0.803729822048372,NA,NA
"37",44,"A2","S2","S2-A2-44","APO","shade","apo_shade","2023.06.23","2023.10.09","","2023.11.16",10,"TL",5.186629526,2.48508423090295,0.398976968256568,0.267241631,0.260718448,1200.90335915228,1.20090335915228,6228.64082045177,2410.0429647691,NA,NA,NA,2.89205155772292,0.493085780397774,NA,NA
"38",45,"C3","S5","S5-C3-45","SYM","shade","sym_shade","2023.06.21","2023.10.09","","2023.11.28",10,"TL",16.36211699,NA,NA,0.194341193,0.088909644,1217.52493461571,1.21752493461571,19921.2854184243,189080.056198767,0.000385952502592392,0.1385281385,0.00276645131113929,2.87248893457521,0.685389234752906,1.02782491663585e-06,440.103510845562
"39",46,"A2","G4","G4-A2-46","APO","control","apo_control","2023.06.21",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",47,"C3","S4","S4-C3-47","SYM","shade","sym_shade","2023.06.21","2023.10.09","","2023.11.28",10,"TL",9.242339833,1.36576368520867,0.11370241577995,0.729324694,0.301709313,1299.64259239613,1.29964259239613,12011.7385003662,331806.309052865,NA,NA,NA,NA,0.843176684480194,2.19804347928719e-06,NA
"41",49,"C1","G5","G5-C1-49","SYM","control","sym_control","2023.06.21","2023.10.09","","2023.11.27",14,"TL",26.03342618,3.04487549469358,0.193746802512692,1.414689577,0.586935807,603.675662013721,0.60367566201372,15715.7457836968,584152.846223639,0.00112931735518494,0.4833333335,0.00215108067654274,1.5748983524688,1.32146989146603,2.42177982380042e-06,280.638317566015
"42",50,"C2","G1","G1-C2-50","SYM","control","sym_control","2023.06.21","2023.10.09","","2023.11.28",10,"HLE",10.75208914,3.69880530454734,0.294231946612586,0.841441127,0.482952655,1169.17303496581,1.16917303496581,12571.0526920367,588257.771828703,NA,NA,NA,2.0461139889694,0.512809211613685,1.4303952574808e-06,NA
"43",51,"A4","S4","S4-A4-51","APO","shade","apo_shade","2023.06.21","2023.10.09","","2023.11.16",10,"TL",NA,NA,NA,NA,NA,NA,NA,12729.3491613775,NA,NA,NA,NA,NA,0.996033276403504,NA,NA
"44",53,"B4","D5","D5-B4-53","APO","deep","apo_deep","2023.06.23","2023.10.10","","2023.12.2",12.5,"TL",17.67688022,3.40978555703978,0.140388519542101,0.324759182,0.118675494,1374.00987346482,1.37400987346482,24288.2079543351,4198.63398271078,0.00134356287446745,0.345238095,0.00388926095240577,0.791994957580812,0.695250950360862,7.73487718475342e-05,353.283024790327
"45",54,"D2","D1","D1-D2-54","SYM","deep","sym_deep","2023.06.21","2023.10.10","","2023.11.17",5.5,"TL",6.08356546,2.87248474780103,0.332990781643228,0.084666632,0.033880214,1417.97095481389,1.41797095481389,8626.31912398902,27969.8231438115,NA,NA,NA,1.31501831493402,0.41419205553413,3.02707069560907e-06,NA
"46",55,"D4","S1","S1-D4-55","SYM","shade","sym_shade","2023.06.21","2023.10.09","","2023.11.28",7,"HLE",15.35933148,1.10707542436626,0.120014692950406,1.44083528,0.287839676,600.579464618512,0.600579464618512,9224.49907715665,531517.274083859,NA,NA,NA,3.25535001735635,1.01082584981544,2.71079671396094e-06,NA
"47",56,"C3","G5","G5-C3-56","SYM","control","sym_control","2023.06.21","2023.10.09","","2023.11.16",11,"TL",10.23955432,5.98231939444808,0.627917170160144,NA,NA,930.435309146635,0.930435309146635,9527.24288925297,NA,NA,NA,NA,2.83215451510003,0.581841220869374,NA,NA
"48",57,"C4","G2","G2-C4-57","SYM","control","sym_control","2023.06.21","2023.10.09","","2023.11.28",11.5,"TL",9.752089136,6.61094214104101,0.576305840629492,2.568136904,0.769686361,1176.2853091375,1.1762853091375,11471.2391840762,941176.538893358,NA,NA,NA,3.17880605557254,0.685389234752906,2.72864526247077e-06,NA
"49",60,"A2","D4","D4-A2-60","APO","deep","apo_deep","2023.06.21","2023.10.10","","2023.12.4",7.5,"TL",7.724233983,2.01552830738276,0.120163285261533,0.081165006,0.061243937,2171.50926983216,2.17150926983216,16773.2456964371,13957.6947354625,NA,NA,NA,1.94194013710783,0.488154922593797,5.81507244128094e-06,NA
"50",61,"D1","S1","S1-D1-61","SYM","shade","sym_shade","2023.06.21","2023.10.09","","2023.11.16",10.5,"TL",150.7827298,4.74751040051831,0.255602943438391,0.045936958,0.061863434,123.182346449043,0.123182346449043,18573.7704607561,26887.4735981203,NA,NA,NA,NA,1.00096413420748,1.70848919041659e-06,NA
"51",62,"A3","S2","S2-A3-62","APO","shade","apo_shade","2023.06.23","2023.10.09","","2023.11.16",12,"TL",4.988857939,1.655099369899,0.264985982770533,0.449241094,0.234582747,1251.98762098047,1.25198762098047,6245.98838245812,117261.306526051,NA,NA,NA,2.00446677822309,0.399399482122197,3.83111110825118e-06,NA
"52",63,"B2","S5","S5-B2-63","APO","shade","apo_shade","2023.06.21","2023.10.09","","2023.11.16",13.5,"TL",6.933147632,9.6540760839334,NA,1.055981408,0.493558292,881.98745958318,0.88198745958318,6114.94926686282,211754.469676061,NA,NA,NA,3.31739654494638,0.409261197730153,4.98681992222136e-06,NA
"53",64,"B3","D5","D5-B3-64","APO","deep","apo_deep","2023.06.21","2023.10.10","","2023.12.4",8,"TL",11.12256267,6.22799966865345,0.392242520393371,0.052505885,0.080017531,1427.54250592014,1.42754250592014,15877.9309861856,0,NA,NA,NA,2.51740546048099,0.542394358437552,NA,NA
"54",65,"C1","D4","D4-C1-65","SYM","deep","sym_deep","2023.06.21","2023.10.10","","2023.12.2",11.5,"TL",14.22005571,NA,0.789062275004649,0.280698912,0.092052206,1726.71016351378,1.72671016351378,24553.9147201891,38077.0894529076,0.00153656219396063,0.4039855075,0.00380096963769209,1.96904995107083,0.867830973500083,7.37185840706545e-06,454.281493435507
"55",67,"B4","G5","G5-B4-67","APO","control","apo_control","2023.06.21","2023.10.09","","2023.11.17",6,"TL",10.28133705,6.71814262903697,0.846624763317796,0.174140775,0.101601571,771.806898324283,0.771806898324283,7935.20685918703,25714.0679966328,NA,NA,NA,2.33432674011986,0.581841220869374,6.77219858883485e-06,NA
"56",68,"A2","D1","D1-A2-68",NA,"deep",NA,NA,"2023.10.10","","2023.11.16",12.5,"TL",14.90529248,NA,NA,0.030162664,0.065580733,1610.03199318258,1.61003199318258,23997.9977605437,6027.64086116075,NA,NA,NA,2.48233974943107,0.759352101812572,5.00405792162467e-06,NA
"57",70,"B4","D4","D4-B4-70","APO","deep","apo_deep","2023.06.21","2023.10.10","","2023.12.4",10.5,"TL",13.55988858,8.5282515449206,0.658819432998896,0.03563912,0.040730423,954.635278500201,0.954635278500201,12944.748011,2581.14215246008,NA,NA,NA,3.02362366461274,0.749490386204617,1.38074998953593e-05,NA
"58",71,"B2","D4","D4-B2-71","APO","deep","apo_deep","2023.06.23",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",72,"C3","G4","G4-C3-72","SYM","control","sym_control","2023.06.21","2023.10.09","","2023.11.17",8.5,"TL",7.17270195,7.68330132429529,NA,0.946172383,0.257096282,496.134362736623,0.496134362736623,3558.62391106298,87397.3300953903,NA,NA,NA,1.67300970870538,0.744559528400639,1.082610168946e-05,NA
"60",73,"A2","G2","G2-A2-73","APO","control","apo_control","2023.06.21","2023.10.09","","2023.11.28",9,"TL",9.153203343,2.18802696486688,0.172212724332464,1.423419705,0.341044537,1388.07944194254,1.38807944194254,12705.373388338,1339694.91777738,NA,NA,NA,3.49604382213057,0.690320092556884,1.06249541303144e-06,NA
"61",74,"C1","S5","S5-C1-74","SYM","shade","sym_shade","2023.06.23","2023.10.09","","2023.11.27",10,"TL",5.621169916,11.008103325828,NA,2.209207962,0.454309341,1184.10248882996,1.18410248882996,6656.04128767172,680957.493760272,NA,NA,NA,1.95688800807992,0.498016638201752,3.2442670537344e-06,NA
"62",75,NA,NA,NA,"APO",NA,NA,"2023.06.23",NA,"LOST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",77,NA,NA,NA,"APO",NA,NA,"2023.06.23",NA,"LOST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",78,"D4","G1","G1-D4-78","SYM","control","sym_control","2023.06.21","2023.10.09","","2023.30.23",11.5,"HLE",19.56545961,1.5861368961532,0.19270491454169,1.229077099,0.189115159,420.685770778661,0.420685770778661,8230.91045667161,NA,0.000940432801823662,0.395989975,0.00235108200455916,2.45330296127912,0.76428295961655,NA,178.9328360146
"65",79,"A1","D2","D2-A1-79","APO","deep","apo_deep","2023.06.21","2023.10.10","","2023.11.17",10.5,"TL",13.37047354,1.16501036481126,0.0558289747015356,0.043624109,0.038931867,1560.71407935363,1.56071407935363,20867.4863015032,1717.87109344221,0.00188474999966232,0.4436813185,0.00424068749924021,2.39333333290453,0.675527519144951,2.53942855005422e-05,368.033268104112
"66",80,NA,NA,NA,"APO",NA,NA,"2023.06.21",NA,"LOST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
